문서,기여,실험/데이터,지표,제한/비고
A Framework for Mitigating Malicious RLHF Feedback in LLM Training Using Consensus-Based Reward.pdf,악성 RLHF 피드백을 완화하기 위한 COBRA 합의 프레임워크(RoT/DRWA/AVGA) 제안.,혼합 신뢰 시나리오에서 SST-2 감성 분석(DistilBERT)과 Anthropic/hh-rlhf 대화형 RLHF 사용.,"Reward accuracy(예: 85% vs 48.78% unprotected), LLM accuracy, AUC 언급.",합성 피드백 사용; 인간 의도 변수 미탐색; 향후 과제 제시.
Agent4FaceForgery - Multi-Agent LLM Framework for Realistic Face Forgery Detection (arXiv 2509.12546v1).pdf,"forger intent/process를 멀티 에이전트로 시뮬레이션해 현실적 학습 데이터를 생성, 일반화 향상.","FF++ 학습, Celeb-DF (V2), DFDC, WildDeepfake, DFD 평가; cross-dataset 평가.","AUC, AP, EER, accuracy; annotation quality precision/recall/F1.",단일 LLM 접근 한계 언급; 구체적 한계는 상세하지 않음.
Beyond PRNU - Learning Robust Device-Specific Fingerprint for Source Camera Identification.pdf,PRNU를 넘어서는 저/중주파 device-specific fingerprint 제안; spatial sync 취약성 대응.,"VISION, Warwick, Daxing, UNISA2020, custom dataset; open-set validation.",Identification accuracy; PRNU 제거 후 PCE.,PRNU 및 CNN 약점 논의; 제안 방법의 명시적 한계는 제한적.
ForenX - Towards Explainable AI-Generated Image Detection with Multimodal Large Language Models (arXiv 2508.01402v1).pdf,"설명 가능한 AI-generated 이미지 탐지 ForenX 제안, ForgReason 데이터셋 도입.",GenImage/ForenSynths; SD3/Flux 샘플; human-annotated explanation 데이터.,"Mean accuracy (mAcc); cross-source generalization; explanation metrics(comprehensiveness, relevance, similarity, reasonableness).",설명 완결성 이슈; ForgReason 개선은 future work로 언급.
Fourier-VLM - Compressing Vision Tokens in the Frequency Domain for Large Vision-Language Models (arXiv 2508.06038v2).pdf,주파수 도메인에서 VLM vision token compression 제안.,"LLaVA-v1.5 설정; VQAv2, GQA, SciQA, VQAT, POPE, MMBench, LLaVAW, MMMU.",이미지 벤치마크 평균 정확도(>96% 평균 보고).,더 일반화 가능한 compression 전략 필요; 명시적 한계는 제한적.
From Black Boxes to Glass Boxes - Explainable AI for Trustworthy Deepfake Forensics.pdf,Explainable deepfake forensics survey; 방법/지표/데이터셋 정리.,Survey (실험 없음).,Accuracy/AUC/EER 및 XAI 평가 프레임워크 논의.,블랙박스 모델과 센서 트레이스 방법의 불투명성 한계 지적.
From Evidence to Verdict - An Agent-Based Forensic Framework for AI-Generated Image Detection (arXiv 2511.00181v1).pdf,AIFo: evidence gathering과 debate 기반 training-free agentic forensics 제안.,"6,000-image benchmark(in-the-wild + benchmarks); EXIF, reverse search 등 외부 evidence 사용.",Accuracy/Precision/Recall/F1 (0.9705 accuracy 보고).,Memory module은 테스트 시 label 의존성으로 평가에서 제외.
LLM-driven Provenance Forensics for Threat Investigation and Detection (arXiv 2508.21323v2).pdf,PROVSEEK: provenance 기반 forensics를 위한 LLM-agent 프레임워크.,DARPA/OpTC 공개 데이터; ablation studies.,Precision/Recall/F1; accuracy; latency/token/cost trade-offs.,LLM extraction 및 orchestration 한계 언급.
MAD-Sherlock - Multi-Agent Debate for Visual Misinformation Detection (arXiv 2410.20140v2).pdf,외부 retrieval과 multi-agent debate로 OOC image-text misinformation 탐지.,NewsCLIPpings (Merged-Balanced); 다양한 debate 설정.,Accuracy/Precision/Recall (예: 90.8% / 85.5% / 99.0).,외부 retrieval 의존; 텍스트 기반 설명; 영어 데이터 편향; open-source adversarial risk.
MAD-Sherlock - Multi-Agent Debate for Visual Misinformation Detection.pdf,arXiv 버전 중복.,Same as above.,Same as above.,Same as above.
On the Reliability of Vision-Language Models Under Adversarial Frequency-Domain Perturbations (arXiv 2507.22398v3).pdf,VLM이 주파수 도메인 교란에 취약함을 보이고 RGFreq 데이터셋 제안.,"SD3.5/SD1.5 ImageNet, StableImageNet-1K, CIFAKE, GCC, COCO; 여러 VLM.","Realism score 분포, semantic drift, caption length 변화.",최적 교란 생성 비용 높음; 큰 모델은 추가 오버헤드.
PRNU Estimation Based on Weighted Averaging for Source Smartphone Video Identification.pdf,스마트폰 비디오 source identification을 위한 weighted averaging PRNU 추정.,Smartphone dataset + Video-ACID.,"Correlation/NCC, PCE, FNR/FPR.",명시적 제한사항 없음.
Towards Explainable Fake Image Detection with Multi-Modal Large Language Models (arXiv 2504.14245v2).pdf,MLLM 기반 설명 가능한 fake image detection; prompt fusion 전략.,MMFR dataset (GPT-4o + expert annotation); Midjourney/DALL-E 언급.,Accuracy 중심 비교 테이블.,Limitations 섹션은 ethics/transparency 강조; 기술적 한계는 상세하지 않음.
5 Real-World Ways to Optimize Prompt Engineering for Smarter LLM Outputs _ by Pratik Abnave _ Medium.html,prompt engineering tips와 workflow 가이드.,정식 실험 없음.,없음.,실무 조언 위주; 정량 평가 없음.
How LLMs Are Transforming Image to Text Analysis with AI _ by Amol Walunj _ Medium.html,"LLM 기반 image-to-text 개요, OCR 한계.",Gemini 1.5 Pro/2.0 Flash의 비공식 비교.,없음.,OCR 정확도/효율 한계 언급; 정량 평가 없음.
Large Language Models in Digital Forensics _ by Aastha Thakker _ Medium.html,digital forensics에서 LLM 활용과 과제 개요.,정식 실험 없음.,없음.,Challenges/limitations 섹션은 질적.
Multi-Agent Debate Strategies.html,MAD 전략과 적용 사례 개요.,정식 실험 없음.,없음.,"개념 요약, 정량 평가 없음."
